status file for recon-all
Sat Dec  7 14:39:55 CST 2024
#@# MotionCor Sat Dec  7 14:39:57 CST 2024
#@# Talairach Sat Dec  7 14:40:03 CST 2024
#@# Talairach Failure Detection Sat Dec  7 14:42:56 CST 2024
#@# Nu Intensity Correction Sat Dec  7 14:42:56 CST 2024
#@# Intensity Normalization Sat Dec  7 14:45:45 CST 2024
#@# Skull Stripping Sat Dec  7 14:46:49 CST 2024
#@# EM Registration Sat Dec  7 14:53:30 CST 2024
#@# CA Normalize Sat Dec  7 15:00:41 CST 2024
#@# CA Reg Sat Dec  7 15:01:22 CST 2024
#@# SubCort Seg Sat Dec  7 16:07:18 CST 2024
#@# CC Seg Sat Dec  7 16:40:27 CST 2024
#@# Merge ASeg Sat Dec  7 16:40:48 CST 2024
#@# Intensity Normalization2 Sat Dec  7 16:40:48 CST 2024
#@# Mask BFS Sat Dec  7 16:42:22 CST 2024
#@# WM Segmentation Sat Dec  7 16:42:23 CST 2024
#@# Fill Sat Dec  7 16:44:06 CST 2024
#@# Tessellate lh Sat Dec  7 16:44:43 CST 2024
#@# Tessellate rh Sat Dec  7 16:44:47 CST 2024
#@# Smooth1 lh Sat Dec  7 16:44:51 CST 2024
#@# Smooth1 rh Sat Dec  7 16:44:53 CST 2024
#@# Inflation1 lh Sat Dec  7 16:44:55 CST 2024
#@# Inflation1 rh Sat Dec  7 16:45:08 CST 2024
#@# QSphere lh Sat Dec  7 16:45:21 CST 2024
#@# QSphere rh Sat Dec  7 16:47:03 CST 2024
#@# Fix Topology lh Sat Dec  7 16:48:44 CST 2024
#@# Fix Topology rh Sat Dec  7 16:49:38 CST 2024
#@# Smooth2 lh Sat Dec  7 16:58:32 CST 2024
#@# Smooth2 rh Sat Dec  7 16:58:35 CST 2024
#@# Inflation2 lh Sat Dec  7 16:58:38 CST 2024
#@# Inflation2 rh Sat Dec  7 16:58:54 CST 2024
#@# Curv .H and .K lh Sat Dec  7 16:59:09 CST 2024
#@# Curv .H and .K rh Sat Dec  7 16:59:52 CST 2024
#@# Sphere lh Sat Dec  7 17:00:34 CST 2024
#@# Sphere rh Sat Dec  7 17:05:34 CST 2024
#@# Surf Reg lh Sat Dec  7 17:11:25 CST 2024
#@# Surf Reg rh Sat Dec  7 17:16:46 CST 2024
#@# Jacobian white lh Sat Dec  7 17:22:19 CST 2024
#@# Jacobian white rh Sat Dec  7 17:22:20 CST 2024
#@# AvgCurv lh Sat Dec  7 17:22:21 CST 2024
#@# AvgCurv rh Sat Dec  7 17:22:22 CST 2024
#@# Cortical Parc lh Sat Dec  7 17:22:23 CST 2024
#@# Cortical Parc rh Sat Dec  7 17:22:31 CST 2024
#@# white curv lh Sat Dec  7 17:34:21 CST 2024
#@# white area lh Sat Dec  7 17:34:23 CST 2024
#@# pial curv lh Sat Dec  7 17:34:24 CST 2024
#@# pial area lh Sat Dec  7 17:34:25 CST 2024
#@# thickness lh Sat Dec  7 17:34:26 CST 2024
#@# area and vertex vol lh Sat Dec  7 17:34:52 CST 2024
#@# white curv rh Sat Dec  7 17:34:54 CST 2024
#@# white area rh Sat Dec  7 17:34:55 CST 2024
#@# pial curv rh Sat Dec  7 17:34:56 CST 2024
#@# pial area rh Sat Dec  7 17:34:58 CST 2024
#@# thickness rh Sat Dec  7 17:34:59 CST 2024
#@# area and vertex vol rh Sat Dec  7 17:35:24 CST 2024
#@# Curvature Stats lh Sat Dec  7 17:35:26 CST 2024
#@# Curvature Stats rh Sat Dec  7 17:35:28 CST 2024
#@# Cortical ribbon mask Sat Dec  7 17:35:30 CST 2024
#@# Cortical Parc 2 lh Sat Dec  7 17:41:19 CST 2024
#@# Cortical Parc 2 rh Sat Dec  7 17:41:30 CST 2024
#@# Cortical Parc 3 lh Sat Dec  7 17:41:42 CST 2024
#@# Cortical Parc 3 rh Sat Dec  7 17:41:51 CST 2024
#@# WM/GM Contrast lh Sat Dec  7 17:41:59 CST 2024
#@# WM/GM Contrast rh Sat Dec  7 17:42:02 CST 2024
#@# Relabel Hypointensities Sat Dec  7 17:42:05 CST 2024
#@# APas-to-ASeg Sat Dec  7 17:42:17 CST 2024
#@# AParc-to-ASeg aparc Sat Dec  7 17:42:28 CST 2024
#@# AParc-to-ASeg aparc.a2009s Sat Dec  7 17:44:40 CST 2024
#@# AParc-to-ASeg aparc.DKTatlas Sat Dec  7 17:46:52 CST 2024
#@# WMParc Sat Dec  7 17:49:04 CST 2024
#@# Parcellation Stats lh Sat Dec  7 17:54:10 CST 2024
#@# Parcellation Stats rh Sat Dec  7 17:54:30 CST 2024
#@# Parcellation Stats 2 lh Sat Dec  7 17:54:50 CST 2024
#@# Parcellation Stats 2 rh Sat Dec  7 17:55:01 CST 2024
#@# Parcellation Stats 3 lh Sat Dec  7 17:55:12 CST 2024
#@# Parcellation Stats 3 rh Sat Dec  7 17:55:22 CST 2024
#@# ASeg Stats Sat Dec  7 17:55:32 CST 2024
#@# BA_exvivo Labels lh Sat Dec  7 17:57:55 CST 2024
#@# BA_exvivo Labels rh Sat Dec  7 18:00:37 CST 2024
#@# Qdec Cache preproc lh thickness fsaverage Sat Dec  7 18:03:19 CST 2024
#@# Qdec Cache preproc lh area fsaverage Sat Dec  7 18:03:22 CST 2024
#@# Qdec Cache preproc lh area.pial fsaverage Sat Dec  7 18:03:27 CST 2024
#@# Qdec Cache preproc lh volume fsaverage Sat Dec  7 18:03:32 CST 2024
#@# Qdec Cache preproc lh curv fsaverage Sat Dec  7 18:03:37 CST 2024
#@# Qdec Cache preproc lh sulc fsaverage Sat Dec  7 18:03:41 CST 2024
#@# Qdec Cache preproc lh white.K fsaverage Sat Dec  7 18:03:45 CST 2024
#@# Qdec Cache preproc lh white.H fsaverage Sat Dec  7 18:03:48 CST 2024
#@# Qdec Cache preproc lh jacobian_white fsaverage Sat Dec  7 18:03:52 CST 2024
#@# Qdec Cache preproc lh w-g.pct.mgh fsaverage Sat Dec  7 18:03:56 CST 2024
#@# Qdec Cache preproc rh thickness fsaverage Sat Dec  7 18:03:59 CST 2024
#@# Qdec Cache preproc rh area fsaverage Sat Dec  7 18:04:03 CST 2024
#@# Qdec Cache preproc rh area.pial fsaverage Sat Dec  7 18:04:08 CST 2024
#@# Qdec Cache preproc rh volume fsaverage Sat Dec  7 18:04:13 CST 2024
#@# Qdec Cache preproc rh curv fsaverage Sat Dec  7 18:04:18 CST 2024
#@# Qdec Cache preproc rh sulc fsaverage Sat Dec  7 18:04:22 CST 2024
#@# Qdec Cache preproc rh white.K fsaverage Sat Dec  7 18:04:26 CST 2024
#@# Qdec Cache preproc rh white.H fsaverage Sat Dec  7 18:04:29 CST 2024
#@# Qdec Cache preproc rh jacobian_white fsaverage Sat Dec  7 18:04:33 CST 2024
#@# Qdec Cache preproc rh w-g.pct.mgh fsaverage Sat Dec  7 18:04:37 CST 2024
#@# Qdec Cache surf2surf lh thickness fwhm0 fsaverage Sat Dec  7 18:04:41 CST 2024
#@# Qdec Cache surf2surf lh thickness fwhm5 fsaverage Sat Dec  7 18:04:41 CST 2024
#@# Qdec Cache surf2surf lh thickness fwhm10 fsaverage Sat Dec  7 18:04:43 CST 2024
#@# Qdec Cache surf2surf lh thickness fwhm15 fsaverage Sat Dec  7 18:04:45 CST 2024
#@# Qdec Cache surf2surf lh thickness fwhm20 fsaverage Sat Dec  7 18:04:47 CST 2024
#@# Qdec Cache surf2surf lh thickness fwhm25 fsaverage Sat Dec  7 18:04:49 CST 2024
#@# Qdec Cache surf2surf lh area fwhm0 fsaverage Sat Dec  7 18:04:51 CST 2024
#@# Qdec Cache surf2surf lh area fwhm5 fsaverage Sat Dec  7 18:04:52 CST 2024
#@# Qdec Cache surf2surf lh area fwhm10 fsaverage Sat Dec  7 18:04:54 CST 2024
#@# Qdec Cache surf2surf lh area fwhm15 fsaverage Sat Dec  7 18:04:55 CST 2024
#@# Qdec Cache surf2surf lh area fwhm20 fsaverage Sat Dec  7 18:04:57 CST 2024
#@# Qdec Cache surf2surf lh area fwhm25 fsaverage Sat Dec  7 18:04:59 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm0 fsaverage Sat Dec  7 18:05:02 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm5 fsaverage Sat Dec  7 18:05:03 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm10 fsaverage Sat Dec  7 18:05:04 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm15 fsaverage Sat Dec  7 18:05:06 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm20 fsaverage Sat Dec  7 18:05:08 CST 2024
#@# Qdec Cache surf2surf lh area.pial fwhm25 fsaverage Sat Dec  7 18:05:10 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm0 fsaverage Sat Dec  7 18:05:12 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm5 fsaverage Sat Dec  7 18:05:13 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm10 fsaverage Sat Dec  7 18:05:15 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm15 fsaverage Sat Dec  7 18:05:17 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm20 fsaverage Sat Dec  7 18:05:19 CST 2024
#@# Qdec Cache surf2surf lh volume fwhm25 fsaverage Sat Dec  7 18:05:21 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm0 fsaverage Sat Dec  7 18:05:23 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm5 fsaverage Sat Dec  7 18:05:24 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm10 fsaverage Sat Dec  7 18:05:26 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm15 fsaverage Sat Dec  7 18:05:27 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm20 fsaverage Sat Dec  7 18:05:29 CST 2024
#@# Qdec Cache surf2surf lh curv fwhm25 fsaverage Sat Dec  7 18:05:31 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm0 fsaverage Sat Dec  7 18:05:33 CST 2024
#@# Qdec Cache surf2surf lh sulc fwhm5 fsaverage Sat Dec  7 18:05:34 CST 2024
